shop_name,Review,Location,Number,img
এ এস টেক শপ,,কোনও রিভিউ নেই,01970-221155,https://lh3.googleusercontent.com/p/AF1QipPJoPUr2naF6c98bAXR6edtuJLePeKMuhp7wz0M=w163-h92-k-no
ওয়ালটন প্লাজা আইডিবি,৪.২,৪.২(৪৭),01686-691927,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npG2L6rs_-Ku0F7O8Rz_uOCQAwoTGjU1rstclTwacPff9xG6oWaBnbCtcplxfZj4PsJfmDdsDVp7Nyja2pTfZ5wggXqd9YBP1rfSGqIZFzWk7amS2AL7frcoALP4b2jn94gOH0=w122-h92-k-no
পিসি সার্ভিস পয়েন্ট,৪.৯,৪.৯(৩০১),01558-984512,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no5hHcmlsdYkAuiQW1SosnvR69GfGYFAW8PiKEgI4ej75TijYA3_7MbzpijfwiQs5K1D2R8VJ70tzdDKhv2z_14sNfB9i7wJIRT0u6g67Hx14gL2GdQvFBonHW5cpflVpPYP0tT=w107-h92-k-no
প্রুভেন কম্পিউটার,৪.৫,৪.৫(৬৯),01721-210243,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqV2_ROSLfJUV1ngbj12HBsZUSYDT-167Az7wuAfwic9s2m7tOZ8kQzbGCA7-6DExhN8G8ZGggWgj4SX2n5C4_qP6WCSaHSJPZzKJCLbV7JEmrE07Fp_6yOGOXFt5nTKt1j6L_y=w163-h92-k-no
ইউ টেক বিডী,৪.২,৪.২(৩২৯),01711-385849,https://lh3.googleusercontent.com/p/AF1QipNkHrR1t79GS2_qI3CiPZsrkFCMB_I_USi9WjCt=w122-h92-k-no
কম্পিউটার সলিউশন ইনকর্পোরেটেড,৪.৮,৪.৮(১৮),01999-951050,https://lh3.googleusercontent.com/Yx_-4YYzX0cloRgh4ocr0HacKS7b6mQD0fyRHjyMbX1iaixdwOAYyTqiHwk2KwM=w163-h92-k-no
ফোর স্টার ইট (গুলশান ব্রাঞ্চ),৪.৪,৪.৪(২৩),01730-433474,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np_fNiaUafLoQhDQrcupCkvoI9FSoXf1DZy3_gny5jEIByF3tohlhvykLtdvqt6ID5g_VpwnaTzIgmNJzZe2bJrLdBfzdGrXQ15ep6aFmZcSfxhSWgHfYVq8i7cEYH6ffTxyVk=w122-h92-k-no
আজ কম্পিউটার সলিউশন,৫.০,৫.০(১),01613-136308,https://lh3.googleusercontent.com/p/AF1QipPenKWqtX3muqhfXmtr5eSpnIleZLaB540_vBHy=w122-h92-k-no
ইট ভ্যালি,৩.৩,৩.৩(৫৫),01753-331205,https://lh3.googleusercontent.com/p/AF1QipMvwBeV6r61p4F2l6__RDR3-MZ5cP-RTLuJXcA_=w163-h92-k-no
কম্পিউটার ভিলেজ - মাল্টিপ্ল্যান ব্রাঞ্চ,৪.৮,৪.৮(৭৬),01713-240745,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqwZJ3a5Uzj75GKJiA40FLT3_MVEBtn7HqdhsCJIqclO4-L1DeudPVpUuF6qNFy889A-VIBwlszjPV22sOSqs0klafueFbc7BWDxR4L_m38ZswvlpUHnEPEWKJfoQtpDuhwT8z1=w138-h92-k-no
